language,cost_scheme,budget_fraction,strategy_a,strategy_b,paired_bugs,difference_percentage_points,ci_95_low,ci_95_high
Java,steep,0.3,frequency_per_cost,frequency,619,6.30048465266559,3.231017770597738,9.208400646203554
Java,steep,0.3,exact_cost_aware,frequency,619,6.946688206785137,3.877221324717286,9.85864297253629
Java,steep,0.3,exact_cost_aware,frequency_per_cost,619,0.6462035541195477,-0.16155088852988692,1.615508885298869
Java,steep,0.3,frequency,cheap_first,619,29.079159935379646,24.07108239095315,34.087237479806134
Java,steep,0.4,frequency_per_cost,frequency,619,-1.615508885298869,-4.20032310177706,0.9693053311793215
Java,steep,0.4,exact_cost_aware,frequency,619,-1.1308562197092082,-3.5541195476575123,1.2924071082390953
Java,steep,0.4,exact_cost_aware,frequency_per_cost,619,0.48465266558966075,-1.2924071082390953,2.2617124394184165
Java,steep,0.4,frequency,cheap_first,619,38.933764135702745,33.60258481421648,44.103392568659125
Java,steep,0.5,frequency_per_cost,frequency,619,0.9693053311793215,-1.615508885298869,3.877221324717286
Java,steep,0.5,exact_cost_aware,frequency,619,0.32310177705977383,-2.5848142164781907,3.392568659127625
Java,steep,0.5,exact_cost_aware,frequency_per_cost,619,-0.6462035541195477,-2.2617124394184165,0.9693053311793215
Java,steep,0.5,frequency,cheap_first,619,40.22617124394184,35.056542810985455,45.39579967689822
JavaScript,exponential,0.1,frequency_per_cost,frequency,128,3.90625,-3.125,10.9375
JavaScript,exponential,0.1,exact_cost_aware,frequency,128,3.90625,-3.90625,11.71875
JavaScript,exponential,0.1,exact_cost_aware,frequency_per_cost,128,0.0,-3.125,3.125
JavaScript,exponential,0.1,frequency,cheap_first,128,0.0,-9.375,8.59375
JavaScript,exponential,0.2,frequency_per_cost,frequency,128,4.6875,-4.6875,14.84375
JavaScript,exponential,0.2,exact_cost_aware,frequency,128,5.46875,-4.6875,15.625
JavaScript,exponential,0.2,exact_cost_aware,frequency_per_cost,128,0.78125,-1.5625,3.125
JavaScript,exponential,0.2,frequency,cheap_first,128,5.46875,-7.03125,17.96875
JavaScript,exponential,0.3,frequency_per_cost,frequency,128,17.1875,10.15625,24.238281249999716
JavaScript,exponential,0.3,exact_cost_aware,frequency,128,7.8125,0.78125,14.84375
JavaScript,exponential,0.3,exact_cost_aware,frequency_per_cost,128,-9.375,-15.625,-3.125
JavaScript,exponential,0.3,frequency,cheap_first,128,-3.125,-15.625,9.375
JavaScript,exponential,0.4,frequency_per_cost,frequency,128,-2.34375,-6.25,0.78125
JavaScript,exponential,0.4,exact_cost_aware,frequency,128,-9.375,-16.40625,-3.125
