language,fold,cost_scheme,budget_fraction,budget,strategy,selected_count,selected_cost,selected_operators
Java,3,linear,0.3,18.6,random,9.951,18.0,Mean of 1000 random portfolios
Java,3,linear,0.4,24.8,frequency,11.0,24.0,CI;MCR;MRV;LOR;ROR;VA;MPM;DOC;MA;SD;AIS
Java,3,linear,0.4,24.8,frequency_per_cost,12.0,24.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;MPM;VA;DTR;AA
Java,3,linear,0.4,24.8,cheap_first,19.0,24.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN;RAR;ElseI;MRV;DTR;EII;SR;BCO
Java,3,linear,0.4,24.8,exact_cost_aware,11.0,24.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;MPM;VA;MA
Java,3,linear,0.4,24.8,random,13.133,24.0,Mean of 1000 random portfolios
Java,3,linear,0.5,31.0,frequency,14.0,31.0,CI;MCR;MRV;LOR;ROR;VA;MPM;DOC;MA;MOCS;SD;AIS;DTR;AA
Java,3,linear,0.5,31.0,frequency_per_cost,15.0,31.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;MPM;VA;DTR;EII;MA;AA;SR
Java,3,linear,0.5,31.0,cheap_first,22.0,30.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN;RAR;ElseI;MRV;DTR;EII;SR;BCO;CFSM;SI;EI
Java,3,linear,0.5,31.0,exact_cost_aware,15.0,31.0,LOR;MCR;MRV;CI;ROR;DOC;SD;AIS;MPM;VA;DTR;EII;MA;AA;SR
Java,3,linear,0.5,31.0,random,16.92,31.0,Mean of 1000 random portfolios
Java,3,exponential,0.1,7.8,frequency,3.0,7.0,MCR;MRV;LOR
Java,3,exponential,0.1,7.8,frequency_per_cost,3.0,7.0,LOR;MRV;MCR
Java,3,exponential,0.1,7.8,cheap_first,7.0,7.0,LOR;ROR;DOC;SD;AIS;AA;SM
Java,3,exponential,0.1,7.8,exact_cost_aware,3.0,7.0,LOR;MRV;MCR
Java,3,exponential,0.1,7.8,random,4.361,7.0,Mean of 1000 random portfolios
Java,3,exponential,0.2,15.6,frequency,4.0,15.0,CI;MCR;MRV;LOR
Java,3,exponential,0.2,15.6,frequency_per_cost,8.0,15.0,LOR;MRV;MCR;ROR;DOC;SD;AIS;MPM
Java,3,exponential,0.2,15.6,cheap_first,14.0,14.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN;RAR;ElseI
Java,3,exponential,0.2,15.6,exact_cost_aware,4.0,15.0,LOR;MRV;MCR;CI
Java,3,exponential,0.2,15.6,random,7.394,15.0,Mean of 1000 random portfolios
Java,3,exponential,0.3,23.4,frequency,9.0,23.0,CI;MCR;MRV;LOR;ROR;MPM;DOC;SD;AIS
Java,3,exponential,0.3,23.4,frequency_per_cost,9.0,23.0,LOR;MRV;MCR;ROR;DOC;CI;SD;AIS;MPM
Java,3,exponential,0.3,23.4,cheap_first,18.0,22.0,LOR;ROR;DOC;SD;AIS;AA;SM;AOR;BR;DIS;BWO;CN;RAR;ElseI;MRV;DTR;EII;SR
Java,3,exponential,0.3,23.4,exact_cost_aware,9.0,23.0,LOR;MRV;MCR;ROR;DOC;CI;SD;AIS;MPM
