language,fold,cost_scheme,budget_fraction,budget,strategy,covered,total,coverage_percent,selected_count,selected_cost,coverage_std
Java,2,linear,0.5,31.0,frequency,96.0,124,77.41935483870968,14.0,31.0,
Java,2,linear,0.5,31.0,frequency_per_cost,96.0,124,77.41935483870968,14.0,31.0,
Java,2,linear,0.5,31.0,cheap_first,31.0,124,25.0,22.0,30.0,
Java,2,linear,0.5,31.0,exact_cost_aware,95.0,124,76.61290322580645,15.0,31.0,
Java,2,linear,0.5,31.0,random,40.345,124,32.53629032258064,16.862,31.0,14.204729449193357
Java,2,exponential,0.1,7.8,frequency,28.0,124,22.580645161290324,3.0,7.0,
Java,2,exponential,0.1,7.8,frequency_per_cost,28.0,124,22.580645161290324,3.0,7.0,
Java,2,exponential,0.1,7.8,cheap_first,19.0,124,15.32258064516129,7.0,7.0,
Java,2,exponential,0.1,7.8,exact_cost_aware,15.0,124,12.096774193548388,3.0,7.0,
Java,2,exponential,0.1,7.8,random,6.244,124,5.035483870967742,4.325,7.0,4.503268385107946
Java,2,exponential,0.2,15.6,frequency,62.0,124,50.0,4.0,15.0,
Java,2,exponential,0.2,15.6,frequency_per_cost,42.0,124,33.87096774193548,8.0,15.0,
Java,2,exponential,0.2,15.6,cheap_first,19.0,124,15.32258064516129,14.0,14.0,
Java,2,exponential,0.2,15.6,exact_cost_aware,62.0,124,50.0,4.0,15.0,
Java,2,exponential,0.2,15.6,random,12.539999999999997,124,10.11290322580645,7.45,15.0,6.604413682584144
Java,2,exponential,0.3,23.4,frequency,67.0,124,54.03225806451613,5.0,23.0,
Java,2,exponential,0.3,23.4,frequency_per_cost,80.0,124,64.51612903225806,9.0,23.0,
Java,2,exponential,0.3,23.4,cheap_first,23.0,124,18.548387096774192,18.0,22.0,
Java,2,exponential,0.3,23.4,exact_cost_aware,80.0,124,64.51612903225806,9.0,23.0,
Java,2,exponential,0.3,23.4,random,20.572,124,16.59032258064516,10.791,23.0,9.291553232556984
Java,2,exponential,0.4,31.2,frequency,85.0,124,68.54838709677419,10.0,31.0,
Java,2,exponential,0.4,31.2,frequency_per_cost,84.0,124,67.74193548387096,14.0,31.0,
Java,2,exponential,0.4,31.2,cheap_first,31.0,124,25.0,22.0,30.0,
Java,2,exponential,0.4,31.2,exact_cost_aware,86.0,124,69.35483870967742,13.0,31.0,
Java,2,exponential,0.4,31.2,random,29.721999999999998,124,23.969354838709677,14.266,31.0,11.51019840357055
Java,2,exponential,0.5,39.0,frequency,90.0,124,72.58064516129032,11.0,39.0,
Java,2,exponential,0.5,39.0,frequency_per_cost,91.0,124,73.38709677419355,15.0,39.0,
Java,2,exponential,0.5,39.0,cheap_first,37.0,124,29.838709677419356,26.0,38.0,
Java,2,exponential,0.5,39.0,exact_cost_aware,94.0,124,75.80645161290323,17.0,39.0,
Java,2,exponential,0.5,39.0,random,40.705999999999996,124,32.82741935483871,17.278,39.0,14.44932181824277
Java,2,steep,0.1,10.4,frequency,9.0,124,7.258064516129032,1.0,10.0,
Java,2,steep,0.1,10.4,frequency_per_cost,21.0,124,16.93548387096774,8.0,10.0,
Java,2,steep,0.1,10.4,cheap_first,19.0,124,15.32258064516129,10.0,10.0,
Java,2,steep,0.1,10.4,exact_cost_aware,15.0,124,12.096774193548388,3.0,10.0,
Java,2,steep,0.1,10.4,random,6.765999999999999,124,5.4564516129032254,4.596,10.0,4.702466671585875
Java,2,steep,0.2,20.8,frequency,62.0,124,50.0,4.0,20.0,
Java,2,steep,0.2,20.8,frequency_per_cost,38.0,124,30.64516129032258,11.0,20.0,
Java,2,steep,0.2,20.8,cheap_first,21.0,124,16.93548387096774,16.0,20.0,
Java,2,steep,0.2,20.8,exact_cost_aware,62.0,124,50.0,4.0,20.0,
Java,2,steep,0.2,20.8,random,12.706999999999999,124,10.247580645161289,7.682,20.0,6.810791856683002
Java,2,steep,0.3,31.2,frequency,71.0,124,57.25806451612903,6.0,31.0,
Java,2,steep,0.3,31.2,frequency_per_cost,80.0,124,64.51612903225806,10.0,31.0,
Java,2,steep,0.3,31.2,cheap_first,27.0,124,21.774193548387096,19.0,29.0,
Java,2,steep,0.3,31.2,exact_cost_aware,80.0,124,64.51612903225806,10.0,31.0,
Java,2,steep,0.3,31.2,random,21.115,124,17.028225806451612,11.184,31.0,9.058140297813589
Java,2,steep,0.4,41.6,frequency,85.0,124,68.54838709677419,11.0,41.0,
Java,2,steep,0.4,41.6,frequency_per_cost,84.0,124,67.74193548387096,14.0,41.0,
Java,2,steep,0.4,41.6,cheap_first,35.0,124,28.225806451612904,23.0,41.0,
Java,2,steep,0.4,41.6,exact_cost_aware,85.0,124,68.54838709677419,14.0,41.0,
Java,2,steep,0.4,41.6,random,30.680999999999997,124,24.74274193548387,14.248,41.0,11.489437000986792
Java,2,steep,0.5,52.0,frequency,90.0,124,72.58064516129032,13.0,52.0,
Java,2,steep,0.5,52.0,frequency_per_cost,91.0,124,73.38709677419355,16.0,52.0,
Java,2,steep,0.5,52.0,cheap_first,37.0,124,29.838709677419356,26.0,50.0,
Java,2,steep,0.5,52.0,exact_cost_aware,91.0,124,73.38709677419355,16.0,52.0,
Java,2,steep,0.5,52.0,random,41.34400000000001,124,33.34193548387097,17.611,51.993,13.596015837437628
Java,3,linear,0.1,6.2,frequency,31.0,124,25.0,2.0,6.0,
Java,3,linear,0.1,6.2,frequency_per_cost,32.0,124,25.806451612903224,3.0,6.0,
Java,3,linear,0.1,6.2,cheap_first,7.0,124,5.645161290322581,6.0,6.0,
Java,3,linear,0.1,6.2,exact_cost_aware,32.0,124,25.806451612903224,3.0,6.0,
Java,3,linear,0.1,6.2,random,6.018,124,4.853225806451612,3.628,6.0,5.421302625372499
Java,3,linear,0.2,12.4,frequency,63.0,124,50.806451612903224,6.0,12.0,
Java,3,linear,0.2,12.4,frequency_per_cost,63.0,124,50.806451612903224,6.0,12.0,
Java,3,linear,0.2,12.4,cheap_first,7.0,124,5.645161290322581,12.0,12.0,
Java,3,linear,0.2,12.4,exact_cost_aware,63.0,124,50.806451612903224,6.0,12.0,
